Category,Card Name,Price (USD),Inclusion,Synergy,Trend,EDHREC Sections,Note
Anthem,Flowering of the White Tree,$9.47,50%,46%,+0.48,highsynergycards,
Blink,Cloudshift,$1.95,61%,55%,-0.35,highsynergycards,
Blink,Ephemerate,$5.54,62%,55%,+0.42,highsynergycards,
Blink,Conjurer's Closet,$3.66,41%,37%,-0.45,topcards,
Blink,Charming Prince,$0.39,38%,34%,-0.36,topcards,
Blink,All-Fates Stalker,$0.11,34%,33%,-0.72,creatures,
Blink,"Phelia, Exuberant Shepherd",$5.27,36%,33%,-0.22,creatures,
Blink,Teleportation Circle,$9.17,37%,32%,+0.99,topcards,
Blink,Restoration Angel,$0.38,34%,30%,-0.37,creatures,
Blink,Another Round,$0.38,23%,21%,-1.29,sorceries,
Blink,Felidar Guardian,$2.41,23%,21%,-0.36,creatures,
Blink,"Abdel Adrian, Gorion's Ward",$0.33,22%,19%,+0.75,creatures,
Blink,Far Traveler,$0.24,18%,16%,-0.38,enchantments,
Blink,Panharmonicon,$7.29,16%,13%,-0.47,utilityartifacts,
Blink,Scrollshift,$0.35,12%,11%,+0.06,instants,
Blink,Ghostway,$5.06,10%,8%,-0.25,instants,
Blink,Morningtide's Light,$1.69,7%,5%,+1.83,sorceries,
Blink,Guardian of Ghirapur,$0.42,,,,,Not on EDHREC page
Blink,Icewind Stalwart,$0.15,,,,,Not on EDHREC page
Commander,"Syr Vondam, Sunstar Exemplar",$0.38,,,,,Not on EDHREC page
Creature,Conciliator's Duelist,$0.24,14%,11%,+10.53,newcards,
Drain,Gray Merchant of Asphodel,$4.63,22%,11%,+0.09,creatures,
Draw,Elegy Acolyte,$0.37,51%,48%,-0.35,highsynergycards,
Draw,"Haliya, Guided by Light",$2.22,52%,45%,-0.68,highsynergycards,
Draw,Spirited Companion,$0.34,41%,36%,-0.52,topcards,
Draw,Helpful Hunter,$0.29,34%,32%,+0.70,creatures,
Draw,Decode Transmissions,$0.16,26%,24%,-0.85,sorceries,
Draw,"Ketramose, the New Dawn",$4.32,25%,23%,-0.53,creatures,
Draw,Anticausal Vestige,$1.85,22%,20%,+0.34,creatures,
Draw,Wall of Omens,$0.34,18%,16%,+0.09,creatures,
Draw,Night's Whisper,$0.32,10%,-8%,+0.18,sorceries,
Draw,Callous Bloodmage,$0.34,,,,,Not on EDHREC page
Draw,Mister Negative,$1.36,,,,,Not on EDHREC page
Finisher,Moonshaker Cavalry,$5.47,,,,,Not on EDHREC page
Land,Dalkovan Encampment,$0.37,36%,33%,+1.45,utilitylands,
Land,Exotic Orchard,$0.27,36%,10%,+0.00,lands,
Land,Fetid Heath,$0.43,51%,9%,+0.00,lands,
Land,Vault of the Archangel,$0.47,40%,7%,+0.49,utilitylands,
Land,Godless Shrine,$11.32,57%,6%,+0.00,lands,
Land,War Room,$2.05,14%,6%,+0.22,utilitylands,
Land,Rogue's Passage,$0.34,24%,5%,+0.51,utilitylands,
Land,Bleachbone Verge,$12.01,28%,4%,+0.00,lands,
Land,Isolated Chapel,$0.33,71%,4%,+0.00,lands,
Land,Caves of Koilos,$0.51,59%,2%,+0.00,lands,
Land,Plains,—,99%,2%,+0.00,lands,
Land,Reflecting Pool,$16.39,5%,2%,+0.00,lands,
Land,Tainted Field,$0.35,52%,2%,+0.00,lands,
Land,Swamp,$2.00,99%,1%,+0.00,lands,
Land,Shattered Sanctum,$1.48,37%,-0%,+0.00,lands,
Land,Evolving Wilds,$0.34,19%,-1%,+0.00,lands,
Land,Command Tower,$0.29,85%,-2%,+0.00,lands,
Land,Bojuka Bog,$0.67,38%,-7%,-0.63,utilitylands,
Land,Path of Ancestry,$0.17,17%,-7%,+0.00,lands,
Land,Vault of Champions,$17.78,29%,-10%,+0.00,lands,
Land,Brightclimb Pathway // Grimclimb Pathway,—,,,,,Not on EDHREC page
Land,Castle Locthwain,$3.98,,,,,Not on EDHREC page
Land,Field of Ruin,$0.35,,,,,Not on EDHREC page
Land,Tyrite Sanctum,$2.99,,,,,Not on EDHREC page
Maybeboard,Umbral Collar Zealot,$0.31,49%,41%,+0.17,highsynergycards,
Maybeboard,Hero's Blade,$0.29,41%,40%,+0.73,highsynergycards,
Maybeboard,Timeline Culler,$0.34,40%,38%,-0.52,highsynergycards,
Maybeboard,Flicker of Fate,$0.29,39%,36%,+0.48,topcards,
Maybeboard,Dalkovan Packbeasts,$0.29,35%,34%,+0.20,creatures,
Maybeboard,"Adeline, Resplendent Cathar",$2.56,39%,33%,+0.40,topcards,
Maybeboard,Starfield Shepherd,$0.38,35%,32%,-0.45,creatures,
Maybeboard,Wyrm's Crossing Patrol,$0.27,30%,29%,+0.20,creatures,
Maybeboard,Getaway Glamer,$0.30,30%,29%,-0.22,instants,
Maybeboard,Ainok Strike Leader,$2.57,29%,28%,+0.72,creatures,
Maybeboard,Blade of Selves,$2.78,30%,28%,-0.64,utilityartifacts,
Maybeboard,Flickerwisp,$0.33,31%,27%,-0.68,creatures,
Maybeboard,Hylderblade,$0.29,26%,26%,-0.98,utilityartifacts,
Maybeboard,Smile at Death,$3.77,28%,26%,-1.14,enchantments,
Maybeboard,Corpse Knight,$1.04,35%,24%,-0.95,creatures,
Maybeboard,Astelli Reclaimer,$0.30,26%,24%,-1.08,creatures,
Maybeboard,Tocasia's Welcome,$0.67,29%,24%,+0.52,enchantments,
Maybeboard,Ironwill Forger,$0.31,24%,23%,-0.53,creatures,
Maybeboard,Otherworldly Journey,$0.20,24%,23%,-0.35,instants,
Maybeboard,Touch the Spirit Realm,$0.93,26%,23%,-0.74,enchantments,
Maybeboard,Cultist of the Absolute,$0.33,24%,23%,+0.25,enchantments,
Maybeboard,"Elas il-Kor, Sadistic Pilgrim",$2.21,56%,22%,-0.23,topcards,
Maybeboard,"Minthara, Merciless Soul",$0.22,24%,22%,-0.40,creatures,
Maybeboard,Airbender Ascension,$1.16,24%,21%,+1.43,enchantments,
Maybeboard,Corrupted Conviction,$0.32,31%,20%,+0.30,instants,
Maybeboard,Hymn of the Faller,$0.07,21%,20%,-1.51,sorceries,
Maybeboard,Distinguished Conjurer,$0.27,22%,19%,+0.25,creatures,
Maybeboard,Vampiric Rites,$0.19,26%,19%,-0.27,enchantments,
Maybeboard,"Sothera, the Supervoid",$3.17,21%,19%,-0.74,enchantments,
Maybeboard,Veteran Soldier,$0.16,20%,19%,-0.58,enchantments,
Maybeboard,"Susur Secundi, Void Altar",$4.59,23%,19%,-0.98,utilitylands,
Maybeboard,Disciple of Bolas,$0.30,21%,18%,-0.28,creatures,
Maybeboard,Village Rites,$0.78,39%,17%,-0.09,topcards,
Maybeboard,Susurian Voidborn,$0.29,19%,17%,-0.33,creatures,
Maybeboard,Cathars' Crusade,$8.07,22%,17%,-0.25,enchantments,
Protection,"Gilraen, Dúnedain Protector",$0.36,43%,41%,-0.43,highsynergycards,
Protection,Eerie Interlude,$6.50,29%,24%,-1.05,instants,
Protection,Noble Heritage,$0.33,25%,23%,+0.41,enchantments,
Protection,Semester's End,$1.13,19%,17%,-0.53,instants,
Protection,Bastion Protector,$1.11,,,,,Not on EDHREC page
Protection,Malakir Rebirth // Malakir Mire,—,,,,,Not on EDHREC page
Ramp,Solemn Simulacrum,$0.21,36%,21%,-0.64,creatures,
Ramp,Knight of the White Orchid,$4.52,23%,15%,+0.01,creatures,
Ramp,Claim Jumper,$0.29,15%,12%,+0.49,creatures,
Ramp,Talisman of Hierarchy,$0.48,49%,-4%,+0.00,manaartifacts,
Ramp,Arcane Signet,$0.42,76%,-5%,+0.00,manaartifacts,
Ramp,Sol Ring,$1.27,79%,-6%,+0.00,manaartifacts,
Ramp,Loyal Warhound,$0.42,,,,,Not on EDHREC page
Removal,Parting Gust,$0.61,48%,44%,+0.10,highsynergycards,
Removal,Deathbringer Liege,$1.53,34%,30%,-0.89,creatures,
Removal,Loran of the Third Path,$3.44,23%,14%,+0.05,creatures,
Removal,Beyond the Quiet,$0.35,11%,11%,-0.48,sorceries,
Removal,Fell the Profane // Fell Mire,—,,,,,Not on EDHREC page
Removal,Massacre Wurm,—,,,,,Not on EDHREC page
Removal,Primaris Eliminator,$2.42,,,,,Not on EDHREC page
Removal,Skyclave Apparition,$0.25,,,,,Not on EDHREC page
Removal,Sunblast Angel,$0.58,,,,,Not on EDHREC page
Tokens,Knight Luminary,$0.06,22%,21%,-0.51,creatures,
Tokens,Rayblade Trooper,$0.06,22%,21%,-0.56,creatures,
Tokens,Voice of Victory,$18.60,25%,19%,+0.23,creatures,
Tokens,Company Commander,$2.86,15%,13%,-0.25,creatures,
Tokens,"Dion, Bahamut's Dominant // Bahamut, Warden of Light",—,,,,,Not on EDHREC page
Tokens,Grave Titan,$0.36,,,,,Not on EDHREC page
Tutor,Rune-Scarred Demon,$0.53,,,,,Not on EDHREC page
